Id	Id Usuario	Id Musica	Dt Download
603	39	850	2021-01-05 02:10:51.843
604	39	2785	2021-01-05 02:16:57.077
605	20	1301	2021-01-05 07:55:42.467
606	10	2647	2021-01-05 08:18:51.837
607	20	1372	2021-01-05 08:37:13.653
608	10	225	2021-01-05 08:38:13.417
609	63	899	2021-01-05 10:46:26.073
610	21	1452	2021-01-05 11:12:21.147
611	33	1908	2021-01-05 11:14:56.913
612	33	1394	2021-01-05 11:15:11.197
613	33	1628	2021-01-05 11:15:55.117
614	33	176	2021-01-05 11:18:08.150
615	33	1557	2021-01-05 11:19:01.867
616	10	438	2021-01-05 11:30:22.477
617	33	911	2021-01-05 11:31:52.057
618	10	2228	2021-01-05 14:02:31.200
619	60	768	2021-01-05 14:21:22.043
620	48	1023	2021-01-05 14:46:10.630
621	48	2480	2021-01-05 14:48:08.037
622	62	2417	2021-01-05 15:43:20.777
623	42	1578	2021-01-05 18:00:01.897
624	5	485	2020-12-30 10:28:05.440
625	5	2577	2020-12-30 10:28:25.597
626	5	282	2020-12-30 10:29:57.673
627	5	1326	2020-12-30 10:44:10.863
628	5	2047	2020-12-30 10:44:41.097
629	5	1117	2020-12-30 10:45:13.783
630	53	1161	2020-12-30 14:42:20.580
631	60	1680	2020-12-30 15:11:24.230
632	21	2591	2020-12-30 15:33:48.820
633	38	1980	2020-12-30 17:15:19.920
634	38	2577	2020-12-30 17:16:23.500
635	38	2577	2020-12-30 17:19:27.750
636	5	2824	2020-12-30 18:12:11.157
637	26	1214	2020-12-30 18:18:38.940
638	26	2982	2020-12-30 18:19:20.533
639	26	1065	2020-12-30 18:20:49.297
640	41	2095	2020-12-30 18:24:47.550
